ASV_ID,PID126,PID127,PID129,PID130,PID131,PID132,PID133,PID134,PID135,PID136,PID137,PID140,PID141,PID142,PID143,PID144,PID145,PID146,PID147,PID149,PID207,PID232,PID238,PID239,PID240,PID241,PID242,PID243,PID244,PID245,PID246,PID247,PID248,PID249,PID250,PID251,PID252,PID253,PID255,PID256,PID257,PID258,PID259,PID260,PID261,PID262,PID263,PID264,PID265,PID266,PID267,PID268,PID269,PID270,PID271,PID272,PID273,PID274,PID275,PID276,PID277,PID278,PID279,PID280,PID281,PID282,PID283,PID284,PID285,PID290,PID299,PID300,PID301,PID302,PID303,PID304,PID306,PID309,PID467,PID468,PID469,PID470,PID471,PID472,PID473,PID474,PID475,PID476,PID477,PID478,PID481,PID484,PID485,PID486,PID487,PID488,PID489,PID490,PID491,PID492,PID493,PID494,PID495,PID496,PID497,PID498,PID525,PID526,PID527,PID528,PID529,PID530,PID531,PID532,PID533,PID534,PID535,PID536,PID537,PID538,PID539,PID540,PID541,PID542,PID544,PID545,PID546,PID547,PID548,PID549,PID550,PID551,PID552,PID553,PID554,PID555,PID556,PID560,PID561,PID562,PID563,PID564,PID565,PID566,PID567,PID568,PID569,PID570,PID571,PID572,PID573,taxonomy
ASV2457,38772.70746,43619.25571,36226.84178,22571.09813,31306.4409,17449.05185,70797.36218,31781.75892,23219.59486,40340.62584,31187.39844,64662.09636,68564.17175,53677.57553,122413.4592,71010.22178,108288.4702,209455.8085,135448.9863,220387.8894,171287.4411,193511.4746,189912.9596,544284.2351,387476.4803,246336.9093,339620.5296,301521.5057,355540.8697,355067.0309,166441.6184,271410.0131,435762.9581,232696.4993,215183.8163,192180.8248,143841.8429,125088.4247,130374.0864,270348.2479,143071.3016,233739.0181,148585.9679,82551.33395,85143.95816,136353.8505,111926.9629,140856.4944,88474.19426,129632.5874,92553.61042,88218.27793,88054.73734,67694.71773,91943.74619,63637.18008,137297.0685,156949.5696,200366.3696,132235.623,106820.8028,84659.03369,88888.51247,106271.0364,306287.5584,234203.2628,285540.8924,123141.3915,253180.0263,113678.9025,210542.2821,250731.2272,282845.7895,273176.135,378443.9702,371865.2954,351210.9382,353143.1179,439436.7345,251817.8989,299313.7552,130851.4912,314609.3378,246859.1167,257598.7114,228682.8572,256458.7759,176039.8723,206057.8081,200925.2397,51104.21804,82270.44905,96143.32732,106628.4299,126997.3393,74904.39811,81220.11133,127157.8677,87623.72956,96506.60277,175432.9099,165973.4731,176684.6152,147286.6185,72044.88412,188765.3926,287609.6557,223955.4129,178382.6312,127698.846,225605.1537,153850.3763,101966.1888,125152.7505,153565.7008,103866.0862,121093.175,201648.8393,208343.3572,126722.2897,58772.37439,194026.2959,99177.3053,157665.989,124576.4651,91285.65676,99532.02328,102479.7271,209067.9997,164986.7146,204585.499,377972.3139,512937.5053,248766.2107,122824.3727,171847.6973,209713.2108,195160.0763,232178.602,156736.1417,119109.8267,127773.0143,188904.5707,78254.19913,249763.1908,88374.41246,86172.80739,78121.77315,116271.8601,88623.22814,77000.18408,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
ASV3432,28726.03662,27008.82706,23472.42115,16706.16712,16133.38059,9914.234005,36254.33408,29241.82327,12173.37983,29565.77481,20824.81238,25023.70558,22476.33445,20298.24285,32272.63924,25821.89883,29230.03996,56777.31484,48228.04816,68396.24155,54090.77086,51491.67183,65282.57986,2484.307798,1130.268174,1133.54354,1031.919337,1324.277818,1798.689054,1336.932655,0,885.3075918,2687.820867,0,840.5617825,50573.90126,29348.08381,24813.73642,27788.4376,49314.97836,31221.96384,35775.09039,42268.55483,16214.23919,16108.31641,26947.73729,21107.148,1187.946338,598.0680099,1355.989408,295.4624435,608.4019168,239.713441,0,1033.0758,233.1032237,693.4195381,2083.401367,1465.445522,49614.63755,43782.34044,28257.20406,31079.89947,28354.82809,91611.43321,56151.19212,124690.346,39937.74859,82037.70269,40282.6141,71464.55511,58896.597,70711.44738,62747.00743,140282.2186,81331.13338,55611.72063,59704.84774,111254.6236,52144.11039,95212.88499,32712.87279,54731.78718,24287.75181,24968.19661,17454.77561,26628.06014,14273.50316,14580.26368,16225.92142,2513.322199,9456.373454,9379.836812,12278.42527,12542.94709,20749.14075,22758.33454,31789.46693,25494.43476,17239.07595,39161.1528,29082.64323,49752.84405,30149.49759,15545.28168,37540.98257,61606.12554,98811.6816,79530.08987,51555.4347,83068.00637,61708.06362,45530.86856,45610.24535,73796.31546,49474.67421,45257.04519,44781.75522,90335.13504,132508.1776,59197.23492,97475.11532,74600.47306,103693.5754,132825.8706,66042.67772,134507.3378,89958.08839,77471.89836,124974.9664,84609.75779,6406.310405,1906.830875,2076.897863,151829.5453,171268.1098,207186.5457,188823.7102,109751.9198,77976.23049,96591.55098,162680.0749,198883.1364,81095.11065,217259.7619,88374.41246,55085.14903,20761.49338,57595.13072,50870.37283,17551.51255,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
ASV3614,148.839568,0,53.59000263,0,288.0960819,0,0,0,112.7164799,0,199.2805012,105.1416201,3859.572582,16088.23692,70480.47651,43698.59802,93379.18805,194665.0795,76446.58697,57137.60097,34629.54113,119387.7701,63926.05872,154468.7382,46580.74898,79049.74687,27504.61926,84836.54773,17877.87908,43561.72233,149502.8697,153158.2134,137750.8194,261992.8211,37825.28021,46847.40328,42391.67662,3993.991822,11231.1602,9430.752834,352.3923684,505.6549879,0,201.8370023,148.4637457,340.03454,0,339.4132395,0,0,0,76.0502396,0,0,0,0,0,520.8503418,399.6669606,1681.85212,8310.536842,3039.619561,22377.52762,2382.758663,404006.4205,57590.96627,179554.0983,258929.7367,264241.2896,115727.171,113401.8389,351696.8221,58926.20615,98772.8558,81625.17004,134323.09,64182.70266,104151.7899,84233.83132,122729.4305,30085.22039,112158.421,24806.49347,258405.7528,36132.83737,195291.1126,17679.28583,128461.5284,9670.583051,61796.59434,5026.644397,20804.0216,6565.885768,3231.164544,0,0,208.79206,0,0,0,0,0,137.8195126,0,0,212.0959467,0,132.9901502,0,0,0,0,0,0,0,0,0,1047.526438,3816.977537,10777.6343,15578.21972,77148.55099,31101.65495,15526.31076,8353.82834,29058.7782,12377.62754,114671.8489,17848.44483,138312.2158,48460.35069,72070.99206,85807.38936,117921.6453,66604.47034,55930.19491,90454.61383,57660.93163,91892.02734,19200.17736,68147.41327,10537.98056,2064.530827,1291.323418,10834.47631,888.1850499,0,133.086496,0,0,0,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
ASV2179,4688.446392,7900.081916,8842.350433,10041.47279,20358.78979,28156.42457,118713.9296,82254.83917,59401.58492,87031.64698,57592.06485,77699.65725,34963.18692,17441.45311,15579.89481,8441.774617,6669.942003,954.2405856,256.532171,0,0,0,0,0,0,0,0,0,0,0,736.4673382,0,0,0,0,0,0,0,0,0,105.7177105,252.8274939,0,201.8370023,148.4637457,595.0604449,644.4930687,2885.012535,1834.07523,4610.363988,1846.640272,1901.25599,1598.089607,2470.610136,3615.7653,4428.961251,9707.873533,10590.62362,15587.01146,18290.14181,11959.06521,26118.21252,20927.13231,9531.034653,13436.34354,5759.096627,2493.80692,665.6291432,307.2573134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783.934193,1383.27605,2505.50472,5932.005791,5141.734742,4672.272922,14940.09298,11611.75133,12128.11711,3993.310939,8680.106521,18876.53926,13385.17491,21012.44373,15121.9185,12849.20065,28318.63853,26656.20435,30608.98727,40762.77966,73603.63578,34417.16467,57488.67902,87992.22078,103058.3935,30744.61996,10621.51344,3464.755284,1957.446815,739.3481315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
ASV3535,17042.13054,16812.99485,12004.16059,7908.770604,7682.562185,6458.415295,20282.14494,14653.47491,8679.168954,15667.77855,10661.50681,32909.32709,33146.91747,21501.10168,48594.4338,31284.22358,41196.70061,72045.16421,67467.96098,92320.8528,68114.30405,77617.23983,83086.91982,3257.203557,2363.288,894.9027948,1508.189801,1407.045182,1635.171867,1336.932655,0,1517.670157,2687.820867,0,1681.123565,15704.52723,10507.33865,6883.262501,6947.1094,11591.96703,8915.526921,7837.652312,13658.83431,4776.809055,4973.535481,6545.664894,6122.684152,509.1198592,318.9696053,271.1978817,221.5968326,76.0502396,79.90448035,247.0610136,1033.0758,233.1032237,693.4195381,173.6167806,266.4446404,9880.881207,7094.360719,3827.669076,4765.584585,4527.24146,12214.85776,7198.870784,19950.45536,4326.589431,14748.35105,4096.537027,10270.35523,9423.455519,12256.65088,8827.52576,17137.75215,12671.98962,7973.006542,9287.42076,20424.16693,9856.50867,14700.73269,5257.425984,10828.23128,19509.83342,19487.37297,12142.4526,17242.76025,8326.210175,8777.913846,9321.274006,0,4728.186727,4689.918406,2584.931635,9929.833111,3458.190125,3758.25708,4258.875952,6427.168427,2416.692891,7470.046488,4367.722976,11439.01955,6256.187138,2051.661541,8483.837869,16474.06143,23007.29599,15962.02508,9835.19062,22340.25929,12383.591,10330.5332,5067.805039,15221.69431,5224.033923,7338.980301,6547.040237,15904.07307,26547.01502,12604.19595,18247.71116,18052.00952,21810.76988,24852.63931,13795.58157,22427.35265,12521.63868,17076.62019,18770.94357,14885.04998,3203.155203,1747.928302,1384.598575,53713.28253,57958.7512,70746.62535,58294.56824,42345.2289,31739.06869,27851.55151,60264.07632,65376.80953,26084.73304,71279.44944,34639.21694,13362.23912,12776.30362,17846.37853,13757.39643,8209.57845,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
ASV3192,74.419784,0,0,0,96.03202731,0,63.38170294,0,676.2988795,52.05242044,1793.524511,210.2832402,2270.336813,5262.507405,12241.34592,4965.749775,14124.58307,33875.54079,18726.84849,6192.252322,5580.793819,23239.6041,13904.34168,36381.30753,14453.7324,14497.42528,3572.028475,10014.851,2343.746343,13257.91549,105314.8294,49956.64268,54428.37256,98770.45653,36984.71843,66278.4285,40217.74448,3144.206328,20609.75789,7662.486678,1021.937868,1643.378711,738.3153683,403.6740047,445.3912371,935.0949849,0,0,0,0,0,0,0,0,0,0,0,173.6167806,0,630.6945451,4053.920411,1463.520529,4558.385255,714.8275989,50080.91682,9598.494379,64838.97993,108497.5503,54077.28717,43696.39496,71892.48658,277991.9378,78489.70659,73721.76918,13074.16143,20735.98301,10763.55883,20786.13218,16745.27972,39426.03468,22051.09904,130267.3327,41934.78658,334852.4471,8322.732204,113076.5898,13968.81843,98725.0635,8777.913846,52130.08796,1675.548132,19858.38425,937.9836812,1938.698726,783.934193,0,0,152.1027126,0,0,0,0,0,0,0,0,0,0,0,0,0,209.8913729,0,0,0,614.5922263,407.7211278,261.8816095,7315.873612,22122.51252,20251.68563,39498.21024,10004.72817,4620.925822,3550.377044,12327.96651,3917.68945,16475.84036,2894.342405,66192.2747,8505.742847,12812.62081,17320.38045,36461.09582,17188.25041,17677.41912,41437.30913,32315.46718,61069.30971,28212.5055,75851.0339,17782.84219,15139.89273,4648.764305,14255.88989,444.0925249,545.3975151,266.172992,811.1990242,0,566.1778241,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
ASV3341,74.419784,0,0,0,0,0,63.38170294,0,0,0,0,0,681.1010439,0,741.8997527,1241.437444,1765.572883,4294.082635,4361.046908,20547.01907,21464.59161,19594.176,36626.07078,32406.41505,19899.56997,9545.629811,17622.00714,14401.52127,17823.37336,17045.89135,15465.8141,11635.47121,21166.58933,22600.01971,14289.5503,14373.6351,18116.10112,13086.69661,14820.50005,7858.960695,2854.378184,5815.03236,4799.049894,1951.091023,1187.709966,255.025905,644.4930687,678.8264789,398.7120066,813.593645,812.5217196,0,958.8537642,1235.305068,516.5378999,466.2064474,693.4195381,0,1465.445522,1261.38909,1013.480103,2701.884054,1450.395308,1667.931064,2137.600108,15357.59101,28678.77958,15975.09944,16591.89493,11265.47683,35090.38035,44761.41372,43605.39255,36503.01192,63957.38431,36863.9698,31493.37584,29852.42387,34505.42488,17169.4022,27008.32285,7594.059755,20278.32403,23093.27221,28419.08557,24284.90519,39505.56463,16057.69105,23655.73393,18642.54801,8796.627695,6619.461418,11724.79601,7754.794905,2874.425374,484.1466175,1043.9603,1064.718988,1285.433685,805.5642969,452.7300902,319.5894861,0,66.55518232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.3463465,3823.74484,7622.461625,8047.281351,13862.77747,19944.76516,6751.029278,14024.19267,9555.987411,35889.84582,13831.22158,19137.9214,17884.28321,41632.4741,20768.97863,16113.98476,11881.544,20718.65457,23444.55462,19012.14359,14498.09311,24296.0343,25357.01572,37161.55489,16787.20443,7127.944944,8881.850499,2181.59006,5589.632832,1351.998374,639.8789035,2547.800209,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
ASV1982,2009.334168,4388.934398,3429.760168,2577.015141,3937.31312,3965.693602,24465.33733,8987.464612,8904.601914,25765.94812,16042.08035,35222.44273,47450.03939,27515.39586,50449.18318,30042.78614,23344.79701,5486.883367,0,562.9320292,143.0972774,151.8928372,339.130285,110.4136799,34.25055072,0,119.0676158,0,109.0114578,0,0,126.4725131,335.9776084,837.0377672,0,0,0,169.9570988,347.35547,196.4740174,387.6316053,884.8962288,2030.367263,672.7900078,2004.260567,2890.29359,6444.930687,6618.55817,9927.928964,12475.10256,7608.15792,11635.68666,12864.62134,9635.379531,14463.0612,10955.85151,24269.68383,32987.18831,72339.71987,53398.80482,28782.83492,38839.58327,29007.90617,69100.00123,27483.42996,15837.51573,4987.613841,0,307.2573134,0,427.9314677,0,235.7048246,0,176.6778572,0,199.3251635,221.1290657,0,0,170.9387522,0,0,0,202.9934684,0,0,594.7292982,0,0,0,0,0,646.2329088,261.3113977,1383.27605,4175.8412,4258.875952,3642.062109,7572.304391,16298.28325,20773.31659,10612.10247,4791.973127,9311.386995,12937.85275,9266.659553,17687.68998,9521.207942,9359.294299,16047.2285,13433.04786,17791.47385,13000.02162,32755.54472,39641.19859,47703.37196,47400.57131,72204.49174,45606.41043,15861.46008,17554.76011,2827.423177,184.8370329,0,293.5230121,0,0,96.47808015,493.9721993,111.917669,0,0,461.5328585,0,0,0,0,0,0,0,0,0,0,0,0,0,399.259488,1081.598699,0,0,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
ASV2844,1488.39568,1620.529624,857.440042,2132.702185,1248.416355,453.222126,1331.015762,651.2655516,1014.448319,1509.520193,1295.323258,4941.656144,6356.943076,6014.294177,2225.699258,3724.312331,5689.068179,2147.041318,1795.725197,1970.262102,1144.778219,2278.392559,2204.346852,12200.71163,7946.127767,29352.81167,12859.30251,14153.21918,7957.836422,11475.33862,26512.82417,9864.856023,16462.90281,46037.0772,28579.1006,55098.93453,20652.35528,8497.85494,20146.61726,13360.23318,12333.73289,21363.92324,36915.76841,5987.831069,7348.955412,7480.759879,11547.16748,6788.264789,2272.658438,5423.957634,3767.146154,1825.20575,1358.376166,3458.854191,2066.1516,2097.929013,11094.71261,2083.401367,1332.223202,3573.935756,4053.920411,2927.041058,2279.192628,4288.965594,916.1143321,6718.946065,2493.80692,332.8145716,1843.543881,2048.268514,3851.383209,1682.759914,5185.506141,5487.380878,6360.40286,4607.996225,13155.46079,3759.194117,4693.752649,6359.037852,9230.69262,7009.901312,5118.800239,6768.717717,9743.686483,12901.35588,14187.08122,20220.79614,11604.69966,9321.274006,17593.25539,17021.47222,11724.79601,10339.72654,14372.12687,7608.018275,15033.02832,17643.91466,16067.92107,10150.11014,2490.015496,4261.193147,1791.653664,2129.765834,1262.560948,5514.494615,858.0240327,3856.714356,2520.319749,1744.953174,3775.818471,2728.587847,765.2246816,1322.036097,2312.156098,3380.257244,1630.884511,8118.329893,4771.221921,3743.809811,2407.543047,8315.412682,15007.09225,12753.75527,19004.95947,23775.36398,12093.737,6919.852953,17559.01059,16301.08258,6826.977811,11744.90241,7150.61578,8076.825023,5729.416803,2897.93756,7074.662535,11405.459,6625.443978,9796.008855,6518.448226,7244.861634,7225.857896,4907.028988,3136.295775,3108.647675,7090.167696,8650.62224,3244.796097,8318.425746,12739.00104,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae
ASV2938,6697.78056,7359.905375,5466.180268,3909.954006,2304.768656,1529.624675,5894.498373,5796.263409,3156.061438,5673.713828,5380.573533,13037.56089,10670.58302,10675.37216,18547.49382,12662.66193,18244.25313,28388.65742,28218.53881,40531.10611,26902.28815,29315.31759,31030.42108,4802.995076,3459.305623,2625.048198,2579.798343,1903.649364,2016.71197,2339.632146,0,1644.14267,5711.619343,837.0377672,840.5617825,3726.497988,2173.932134,1529.613889,2084.13282,1964.740174,1515.287184,1769.792458,2030.367263,1009.185012,1113.478093,595.0604449,1235.278382,1697.066197,996.7800165,1627.18729,960.2529413,1292.854073,1038.758245,988.2440544,1033.0758,233.1032237,1386.839076,694.4671223,1465.445522,3363.704241,2635.048267,2364.148547,1243.195979,2621.034529,5496.685993,6718.946065,11222.13114,2662.516573,4301.602388,3072.402771,5135.177613,8413.799571,11549.53641,9543.271091,8127.181432,9446.392262,4185.828434,6855.001037,16110.98882,5723.134067,8034.121355,2920.792213,5118.800239,10352.15651,12991.58198,7336.06511,9385.299885,8920.939473,2678.007614,3452.323706,0,2836.912036,5627.902087,2584.931635,4964.916556,5118.121385,3131.8809,2433.643401,4499.017899,2094.467172,11997.34739,5219.961606,10474.28296,8252.842608,2604.031956,9544.317603,15959.24701,12900.04457,6440.817137,4600.331096,11327.45541,6506.632558,4782.65426,4847.465689,8285.226017,4916.73781,4892.653534,4451.987361,10178.60676,20193.88322,8638.830934,14320.98851,9134.751804,18114.02922,13992.66247,9099.213375,14591.97375,12192.12187,12252.71618,20746.83237,10744.09623,1334.648001,6832.810634,3692.262868,8594.125205,11301.95648,13138.65899,13306.36884,7489.632323,7444.96673,8296.206833,12843.16381,15828.06968,4907.028988,13400.53649,5329.110299,4635.878878,1996.29744,4867.194145,4159.212873,1981.622384,k__Bacteria; p__Cyanobacteria; c__Synechococcophycideae; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__
