Sample_ID,Temp
PID126,8.2
PID127,7.4
PID129,9.4
PID130,9.3
PID131,8.9
PID132,9.9
PID133,12.2
PID134,12.5
PID135,13.8
PID136,15.5
PID137,11.8
PID140,19.3
PID141,24
PID142,22
PID143,21.5
PID144,22.3
PID145,25.8
PID146,26.8
PID147,26.5
PID149,26.4
PID207,27.1
PID232,27.6
PID238,27.5
PID239,28.7
PID240,28.2
PID241,28
PID242,29.4
PID243,29.7
PID244,29
PID245,27.8
PID246,27.3
PID247,28
PID248,27.4
PID249,24.2
PID250,24.2
PID251,20.7
PID252,21.3
PID253,22.7
PID255,15.6
PID256,15.5
PID257,17.2
PID258,17.4
PID259,17
PID260,15
PID261,13.6
PID262,11.9
PID263,13.2
PID264,10
PID265,11.4
PID266,9.6
PID267,11.4
PID268,11.9
PID269,11.6
PID270,9.1
PID271,10.4
PID272,12.3
PID273,11.2
PID274,13.9
PID275,17.7
PID276,17.2
PID277,17.8
PID278,17.5
PID279,19.7
PID280,17.7
PID281,21.1
PID282,21.8
PID283,22.8
PID284,22.3
PID285,26.9
PID290,24.2
PID299,25
PID300,24.9
PID301,26.3
PID302,27.3
PID303,28.5
PID304,29.1
PID306,28.4
PID309,28.2
PID467,29.3
PID468,28.2
PID469,28.1
PID470,26.8
PID471,27.9
PID472,24.7
PID473,26
PID474,23.1
PID475,25
PID476,21.5
PID477,21.7
PID478,20.4
PID481,16
PID484,12.7
PID485,14.4
PID486,13
PID487,12.3
PID488,14.3
PID489,15.1
PID490,13.6
PID491,11.7
PID492,11.4
PID493,10.8
PID494,13.4
PID495,9.1
PID496,11.1
PID497,10.1
PID498,12.4
PID525,9.8
PID526,11.9
PID527,10.9
PID528,12.8
PID529,13.5
PID530,9.8
PID531,13.6
PID532,16.4
PID533,19.5
PID534,15.7
PID535,18.4
PID536,18.6
PID537,19.2
PID538,23.4
PID539,23
PID540,24.7
PID541,25.9
PID542,25.6
PID544,26.5
PID545,27
PID546,27.6
PID547,29.4
PID548,27.3
PID549,27.5
PID550,26.9
PID551,28.3
PID552,26.9
PID553,25.85
PID554,27.3
PID555,27.6
PID556,23.85
PID560,23.3
PID561,22.5
PID562,22.1
PID563,21.3
PID564,21.2
PID565,18.35
PID566,18.4
PID567,12.2
PID568,14.9
PID569,14.75
PID570,13.15
PID571,12.5
PID572,12.1
PID573,12.8
